rank,country,index,index_modified
1,Brazil,1620258,1294849
2,France,1199950,874541
3,Spain,1147578,822169
4,Argentina,1099119,773710
5,England,820124,494715
6,Germany,724890,399481
7,Colombia,717216,391807
8,Netherlands,631007,305598
9,Italy,563114,237705
10,Serbia,535434,210025
11,Portugal,531361,205952
12,Russia,509596,184187
13,Uruguay,507861,182452
14,Japan,501777,176368
15,USA,578993,253584
16,Ukraine,440090,114681
17,Czech Republic,372638,47229
18,Croatia,371856,46447
19,Mexico,332664,7255
20,Sweden,325409,0
